County,Public Health Region,La Paz Border Designation,Urban Rural Designation,2015 Population,2016 Population,2017 Population,2018 Population,2019 Population,2020 Population,2021 Population,2022 Population,2023 Population,2024 Population,Assistant Behavioral Analysts and Behavioral Analysts 2020,Assistant Behavioral Analysts and Behavioral Analysts 2021,Assistant Behavioral Analysts and Behavioral Analysts 2022,Assistant Behavioral Analysts and Behavioral Analysts 2023,Assistant Behavioral Analysts and Behavioral Analysts 2024,"Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2015","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2016","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2017","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2018","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2019","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2020","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2021","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2022","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2023","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2024",Licensed Professional Counselor 2015,Licensed Professional Counselor 2016,Licensed Professional Counselor 2017,Licensed Professional Counselor 2018,Licensed Professional Counselor 2019,Licensed Professional Counselor 2020,Licensed Professional Counselor 2021,Licensed Professional Counselor 2022,Licensed Professional Counselor 2023,Licensed Professional Counselor 2024,"Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2015","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2016","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2017","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2018","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2019","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2020","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2021","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2022","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2023","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2024",Licensed Specialist School Psychologist 2015,Licensed Specialist School Psychologist 2016,Licensed Specialist School Psychologist 2017,Licensed Specialist School Psychologist 2018,Licensed Specialist School Psychologist 2019,Licensed Specialist School Psychologist 2020,Licensed Specialist School Psychologist 2021,Licensed Specialist School Psychologist 2022,Licensed Specialist School Psychologist 2023,Licensed Specialist School Psychologist 2024,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2015,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2016,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2017,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2018,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2019,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2020,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2021,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2022,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2023,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2024,Psychiatrist 2015,Psychiatrist 2016,Psychiatrist 2017,Psychiatrist 2018,Psychiatrist 2019,Psychiatrist 2020,Psychiatrist 2021,Psychiatrist 2022,Psychiatrist 2023,Psychiatrist 2024
 Anderson ,PHR 4/5N,Non-Border,Rural,58408,58382,58342,58293,58248,58199,58162,58094,58031,57947,1,2,2,2,2,23,23,27,26,27,30,31,31,32,34,22,24,25,25,25,32,18,19,22,24,5,5,3,4,3,3,3,3,4,5,5,5,5,5,5,6,5,4,2,2,1,1,1,1,1,1,3,1,0,0,3,3,5,4,4,4,4,4,3,3
 Andrews ,PHR 9/10,Non-Border,Rural,17952,18708,19526,20388,21305,22269,23290,24369,25522,26744,0,0,0,0,0,1,1,1,2,2,2,3,2,4,3,2,3,3,3,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Angelina ,PHR 4/5N,Non-Border,Rural,88868,89219,89557,89860,90151,90437,90739,91022,91271,91535,9,7,8,9,8,103,102,100,93,97,99,91,86,91,87,71,69,71,71,70,64,60,73,80,81,10,12,13,11,10,8,10,9,10,11,9,9,9,10,8,10,9,8,12,12,3,3,3,3,3,3,5,7,7,6,3,5,6,10,11,12,14,18,15,14
 Aransas ,PHR 11,Non-Border,Urban,25302,25763,26228,26700,27198,27699,28232,28757,29270,29800,1,1,1,1,1,15,15,13,10,10,10,4,6,7,5,19,18,15,14,16,15,9,9,9,10,3,3,4,3,1,1,1,0,0,1,1,1,0,1,1,0,0,2,4,4,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,2,1
 Archer ,PHR 2/3,Non-Border,Urban,8657,8582,8516,8452,8393,8344,8303,8264,8228,8185,0,0,0,0,1,9,10,11,9,10,10,11,8,7,9,3,3,4,5,6,8,6,4,5,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 Armstrong ,PHR 1,Non-Border,Urban,1942,1951,1952,1954,1951,1948,1946,1947,1950,1953,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,2,2,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Atascosa ,PHR 8,Non-Border,Suburban,48087,48782,49504,50265,51048,51831,52646,53493,54335,55190,0,1,2,3,3,16,16,14,12,11,12,15,16,16,15,11,11,9,12,11,13,15,20,26,33,1,1,1,1,3,1,1,2,2,2,4,6,7,6,4,4,4,4,6,7,0,0,0,0,0,0,1,1,1,1,3,4,4,4,3,3,4,5,5,5
 Austin ,PHR 6/5S,Non-Border,Suburban,29394,29603,29801,30002,30207,30402,30609,30805,30974,31156,0,1,2,3,3,4,4,3,4,2,3,8,7,8,11,8,6,6,10,10,10,9,9,9,10,1,1,0,0,2,2,1,0,1,0,3,3,1,2,3,2,2,4,4,5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
 Bailey ,PHR 1,Non-Border,Rural,7413,7464,7525,7582,7638,7692,7749,7810,7874,7936,0,0,0,0,0,1,1,1,2,1,0,0,1,1,0,1,1,1,3,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Bandera ,PHR 8,Non-Border,Suburban,20830,20912,20992,21083,21174,21246,21318,21389,21466,21519,2,3,4,5,5,2,3,3,3,4,7,8,7,8,9,10,12,14,15,18,18,20,17,19,24,3,4,3,3,1,4,5,2,2,1,2,3,1,3,2,4,3,3,3,3,3,2,0,0,0,0,3,2,2,2,0,0,0,0,0,0,0,0,0,0
